Name,Team,Salary
T.J. Warren,Indiana Pacers,"$10,810,000"
Andre Roberson,Oklahoma City Thunder,"$10,740,740"
Spencer Dinwiddie,Brooklyn Nets,"$10,605,600"
Jeremy Lamb,Indiana Pacers,"$10,500,000"
Dwight Powell,Dallas Mavericks,"$10,259,375"
Josh Richardson,Philadelphia 76ers,"$10,116,576"
Norman Powell,Toronto Raptors,"$10,116,576"
Tomas Satoransky,Chicago Bulls,"$10,000,000"
Darren Collison,Los Angeles Lakers,"$10,000,000"
DeAndre Jordan,Brooklyn Nets,"$9,881,598"
Zion Williamson,New Orleans Pelicans,"$9,757,440"
Markelle Fultz,Orlando Magic,"$9,745,200"
John Henson,Detroit Pistons,"$9,732,396"
Matthew Dellavedova,Cleveland Cavaliers,"$9,607,500"
Dante Exum,Cleveland Cavaliers,"$9,600,000"
Deandre Ayton,Phoenix Suns,"$9,562,920"
Delon Wright,Dallas Mavericks,"$9,473,684"
Jerami Grant,Denver Nuggets,"$9,346,153"
Fred VanVleet,Toronto Raptors,"$9,346,153"
Tyus Jones,Memphis Grizzlies,"$9,258,000"
Al-Farouq Aminu,Orlando Magic,"$9,258,000"
George Hill,Milwaukee Bucks,"$9,133,907"
Kyle Anderson,Memphis Grizzlies,"$9,073,050"
Taj Gibson,New York Knicks,"$9,000,000"
Ja Morant,Memphis Grizzlies,"$8,730,240"
Lonzo Ball,New Orleans Pelicans,"$8,719,320"
E'Twaun Moore,New Orleans Pelicans,"$8,664,928"
Marvin Bagley III,Sacramento Kings,"$8,556,120"
Bogdan Bogdanovic,Sacramento Kings,"$8,529,386"
P.J. Tucker,Houston Rockets,"$8,349,039"
CJ Miles,Washington Wizards,"$8,333,333"
Cristiano Felicio,Chicago Bulls,"$8,156,500"
Ben Simmons,Philadelphia 76ers,"$8,113,930"
Kentavious Caldwell-Pope,Los Angeles Lakers,"$8,089,282"
Thomas Bryant,Washington Wizards,"$8,000,000"
Wayne Ellington,New York Knicks,"$8,000,000"
Maxi Kleber,Dallas Mavericks,"$8,000,000"
Lou Williams,LA Clippers,"$8,000,000"
RJ Barrett,New York Knicks,"$7,839,960"
Jayson Tatum,Boston Celtics,"$7,830,000"
Jae Crowder,Miami Heat,"$7,815,533"
Luka Doncic,Dallas Mavericks,"$7,683,360"
Joe Harris,Brooklyn Nets,"$7,666,667"
Darrell Arthur,Phoenix Suns,"$7,464,912"
Seth Curry,Dallas Mavericks,"$7,461,380"
Langston Galloway,Detroit Pistons,"$7,333,333"
Doug McDermott,Indiana Pacers,"$7,333,333"
Derrick Rose,Detroit Pistons,"$7,317,073"
Brandon Ingram,New Orleans Pelicans,"$7,265,485"
D.J. Augustin,Orlando Magic,"$7,250,000"
Lance Thomas,Brooklyn Nets,"$7,119,650"
De'Andre Hunter,Atlanta Hawks,"$7,068,360"
Josh Jackson,Memphis Grizzlies,"$7,059,480"
Davis Bertans,Washington Wizards,"$7,000,000"
Darius Miller,Oklahoma City Thunder,"$7,000,000"
Ersan Ilyasova,Milwaukee Bucks,"$7,000,000"
Jaren Jackson Jr.,Memphis Grizzlies,"$6,927,480"
Nemanja Bjelica,Sacramento Kings,"$6,825,000"
Jaylen Brown,Boston Celtics,"$6,534,829"
Jabari Parker,Sacramento Kings,"$6,500,000"
Ivica Zubac,LA Clippers,"$6,481,482"
Darius Garland,Cleveland Cavaliers,"$6,400,920"
De'Aaron Fox,Sacramento Kings,"$6,392,760"
Milos Teodosic,LA Clippers,"$6,300,000"
Trae Young,Atlanta Hawks,"$6,273,000"
Wesley Johnson,Washington Wizards,"$6,134,520"
Ish Smith,Washington Wizards,"$6,000,000"
Montrezl Harrell,LA Clippers,"$6,000,000"
Marco Belinelli,San Antonio Spurs,"$5,846,154"
Jarrett Culver,Minnesota Timberwolves,"$5,813,640"
Jonathan Isaac,Orlando Magic,"$5,806,440"
Rodney Hood,Portland Trail Blazers,"$5,718,000"
Jonathon Simmons,Washington Wizards,"$5,700,000"
Mo Bamba,Orlando Magic,"$5,697,600"
Trey Lyles,San Antonio Spurs,"$5,500,000"
Alex Abrines,Oklahoma City Thunder,"$5,455,236"
Aron Baynes,Phoenix Suns,"$5,453,280"
Jason Smith,New Orleans Pelicans,"$5,450,000"
Kris Dunn,Chicago Bulls,"$5,348,007"
Coby White,Chicago Bulls,"$5,307,120"
Lauri Markkanen,Chicago Bulls,"$5,300,400"
Alexis Ajinca,LA Clippers,"$5,285,394"
Wendell Carter Jr.,Chicago Bulls,"$5,201,400"
Daniel Theis,Boston Celtics,"$5,000,000"
Dirk Nowitzki,Dallas Mavericks,"$5,000,000"
Kyle Singler,Oklahoma City Thunder,"$4,996,000"
Jaxson Hayes,New Orleans Pelicans,"$4,862,040"
Buddy Hield,Sacramento Kings,"$4,861,208"
Frank Ntilikina,New York Knicks,"$4,855,800"
Rodney McGruder,LA Clippers,"$4,807,693"
Garrett Temple,Brooklyn Nets,"$4,767,000"
Richaun Holmes,Sacramento Kings,"$4,767,000"
Robin Lopez,Milwaukee Bucks,"$4,767,000"
Mike Scott,Philadelphia 76ers,"$4,767,000"
Avery Bradley,Los Angeles Lakers,"$4,767,000"
Frank Kaminsky,Phoenix Suns,"$4,767,000"
JaMychal Green,LA Clippers,"$4,767,000"
Justin Holiday,Indiana Pacers,"$4,767,000"
Ed Davis,Utah Jazz,"$4,767,000"
Enes Freedom,Boston Celtics,"$4,767,000"
Collin Sexton,Cleveland Cavaliers,"$4,764,960"
Rui Hachimura,Washington Wizards,"$4,469,160"
Kevon Looney,Golden State Warriors,"$4,464,226"
Dennis Smith Jr.,New York Knicks,"$4,463,640"
Jamal Murray,Denver Nuggets,"$4,444,746"
Kevin Knox II,New York Knicks,"$4,380,120"
Luc Mbah a Moute,Houston Rockets,"$4,320,500"
Cam Reddish,Atlanta Hawks,"$4,245,720"
Zach Collins,Portland Trail Blazers,"$4,240,200"
Mikal Bridges,Phoenix Suns,"$4,161,000"
Alex Len,Sacramento Kings,"$4,160,000"
Nicolo Melli,New Orleans Pelicans,"$4,102,564"
Cameron Johnson,Phoenix Suns,"$4,033,440"
Malik Monk,Charlotte Hornets,"$4,028,400"
Patrick McCaw,Toronto Raptors,"$4,000,000"
JaVale McGee,Los Angeles Lakers,"$4,000,000"
Dorian Finney-Smith,Dallas Mavericks,"$4,000,000"
Reggie Bullock Jr.,New York Knicks,"$4,000,000"
Shai Gilgeous-Alexander,Oklahoma City Thunder,"$3,952,920"
P.J. Washington,Charlotte Hornets,"$3,831,840"
Luke Kennard,Detroit Pistons,"$3,827,160"
Miles Bridges,Charlotte Hornets,"$3,755,400"
Jakob Poeltl,San Antonio Spurs,"$3,754,886"
Tyler Herro,Miami Heat,"$3,640,200"
Donovan Mitchell,Utah Jazz,"$3,635,760"
Stanley Johnson,Toronto Raptors,"$3,623,000"
Jake Layman,Minnesota Timberwolves,"$3,581,986"
Thon Maker,Detroit Pistons,"$3,569,643"
Jerome Robinson,Washington Wizards,"$3,567,720"
Allonzo Trier,New York Knicks,"$3,551,000"
Danuel House Jr.,Houston Rockets,"$3,540,000"
Domantas Sabonis,Indiana Pacers,"$3,529,555"
Michael Beasley,Brooklyn Nets,"$3,500,000"
T.J. McConnell,Indiana Pacers,"$3,500,000"
Boban Marjanovic,Dallas Mavericks,"$3,500,000"
DeMarcus Cousins,Denver Nuggets,"$3,500,000"
Taurean Prince,Brooklyn Nets,"$3,481,986"
Dario Saric,Phoenix Suns,"$3,481,986"
Romeo Langford,Boston Celtics,"$3,458,400"
Bam Adebayo,Miami Heat,"$3,454,080"
Michael Porter Jr.,Denver Nuggets,"$3,389,400"
Denzel Valentine,Chicago Bulls,"$3,377,569"
Juancho Hernangomez,Minnesota Timberwolves,"$3,321,030"
Sekou Doumbouya,Detroit Pistons,"$3,285,120"
Justin Jackson,Dallas Mavericks,"$3,280,920"
Troy Brown Jr.,Washington Wizards,"$3,219,480"
Yogi Ferrell,Sacramento Kings,"$3,150,000"
Zhaire Smith,Philadelphia 76ers,"$3,058,800"
Khem Birch,Orlando Magic,"$3,000,000"
Quinn Cook,Los Angeles Lakers,"$3,000,000"
Ryan Arcidiacono,Chicago Bulls,"$3,000,000"
Nickeil Alexander-Walker,New Orleans Pelicans,"$2,964,840"
