PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Name,Salary
1509,2004-05,00,1610612753,ORL,30.0,62,50,1526.0,160,297,0.539,0,0,0.0,112,143,0.783,102,314,416,40,55,82,64,170,432,Kelvin Cato,"$7,992,000"
948,2004-05,00,1610612743,DEN,31.0,66,66,2015.0,279,600,0.465,0,4,0.0,125,173,0.723,131,530,661,152,61,199,103,177,683,Marcus Camby,"$7,750,000"
953,2004-05,00,1610612763,MEM,29.0,80,77,2289.0,320,683,0.469,0,3,0.0,131,198,0.662,177,436,613,87,58,69,100,251,771,Lorenzen Wright,"$7,150,000"
711,2004-05,00,1610612742,DAL,30.0,56,7,1617.0,274,662,0.414,32,120,0.267,253,298,0.849,38,145,183,127,53,10,106,104,833,Jerry Stackhouse,"$7,000,000"
978,2004-05,00,1610612758,SAC,28.0,66,66,2534.0,451,1016,0.444,174,433,0.402,253,275,0.92,62,223,285,138,79,12,102,157,1329,Peja Stojakovic,"$6,875,000"
2030,2004-05,00,1610612743,DEN,27.0,70,67,2275.0,444,907,0.49,0,12,0.0,199,308,0.646,146,365,511,170,100,78,149,228,1087,Kenyon Martin,"$6,667,000"
458,2004-05,00,1610612762,UTA,32.0,74,1,1432.0,161,405,0.398,27,103,0.262,66,83,0.795,15,75,90,250,45,9,111,156,415,Howard Eisley,"$6,375,000"
958,2004-05,00,1610612760,SEA,30.0,33,1,336.0,45,87,0.517,0,1,0.0,27,31,0.871,30,48,78,9,7,3,12,53,117,Vitaly Potapenko,"$6,191,000"
363,2004-05,00,1610612748,MIA,35.0,49,0,739.0,107,184,0.582,1,7,0.143,45,59,0.763,36,95,131,41,32,15,29,78,260,Christian Laettner,"$6,078,000"
2031,2004-05,00,1610612763,MEM,25.0,60,14,1279.0,219,488,0.449,0,4,0.0,166,219,0.758,92,181,273,43,41,92,90,182,604,Stromile Swift,"$6,022,000"
1112,2004-05,00,1610612765,DET,30.0,74,74,2671.0,295,651,0.453,1,9,0.111,130,304,0.428,292,610,902,123,106,176,82,159,721,Ben Wallace,"$6,000,000"
1504,2004-05,00,1610612760,SEA,29.0,62,0,1048.0,118,226,0.522,0,0,0.0,227,258,0.88,157,191,348,8,15,7,91,265,463,Danny Fortson,"$5,922,000"
693,2004-05,00,1610612749,MIL,29.0,74,73,2265.0,319,621,0.514,0,1,0.0,175,228,0.768,179,362,541,67,43,38,79,222,813,Joe Smith,"$5,899,000"
1739,2004-05,00,1610612757,POR,29.0,70,36,1958.0,319,601,0.531,2,25,0.08,169,282,0.599,126,147,273,138,106,21,143,164,809,Ruben Patterson,"$5,899,000"
703,2004-05,00,1610612752,NYK,32.0,80,80,2855.0,424,901,0.471,2,4,0.5,66,84,0.786,170,661,831,160,70,79,99,310,916,Kurt Thomas,"$5,885,000"
1751,2004-05,00,1610612766,CHA,29.0,17,0,135.0,14,31,0.452,0,0,0.0,14,40,0.35,11,23,34,1,2,12,11,31,42,Jahidi White,"$5,884,000"
1513,2004-05,00,1610612754,IND,30.0,49,17,865.0,79,167,0.473,0,0,0.0,33,49,0.673,85,120,205,18,30,24,31,123,191,Scot Pollard,"$5,792,000"
959,2004-05,00,1610612756,PHX,31.0,75,75,2573.0,430,857,0.502,94,218,0.431,211,238,0.887,57,192,249,861,74,6,245,136,1165,Steve Nash,"$5,750,000"
762,2004-05,00,1610612742,DAL,33.0,77,14,886.0,84,186,0.452,0,0,0.0,43,63,0.683,70,144,214,15,25,63,33,153,211,Shawn Bradley,"$5,714,000"
966,2004-05,00,1610612752,NYK,32.0,79,4,1211.0,122,243,0.502,0,5,0.0,115,172,0.669,115,168,283,41,55,10,65,155,359,Jerome Williams,"$5,600,000"
243,2004-05,00,1610612755,PHI,32.0,68,3,1118.0,61,142,0.43,20,62,0.323,10,16,0.625,20,152,172,103,48,17,31,116,152,Aaron McKie,"$5,500,000"
2032,2004-05,00,1610612757,POR,23.0,63,22,1699.0,336,697,0.482,8,23,0.348,129,215,0.6,71,228,299,129,75,78,157,189,809,Darius Miles,"$5,419,000"
2198,2004-05,00,1610612764,WAS,23.0,42,14,909.0,109,237,0.46,0,0,0.0,74,129,0.574,72,134,206,39,25,15,67,112,292,Kwame Brown,"$5,361,000"
448,2004-05,00,1610612756,PHX,34.0,39,0,214.0,12,34,0.353,0,0,0.0,5,9,0.556,16,37,53,13,6,12,8,29,29,Bo Outlaw,"$5,355,000"
2033,2004-05,00,1610612749,MIL,26.0,54,0,902.0,133,292,0.455,0,6,0.0,70,103,0.68,29,146,175,64,25,13,63,96,336,Marcus Fizer,"$4,915,000"
441,2004-05,00,1610612761,TOR,32.0,62,1,917.0,132,310,0.426,46,105,0.438,61,80,0.763,44,120,164,47,32,16,54,85,371,Lamond Murray,"$4,875,000"
727,2004-05,00,1610612739,CLE,32.0,81,15,1842.0,125,327,0.382,13,45,0.289,59,80,0.738,37,118,155,317,67,16,89,189,322,Eric Snow,"$4,875,000"
1499,2004-05,00,1610612753,ORL,29.0,81,32,1898.0,163,354,0.46,0,6,0.0,68,94,0.723,109,343,452,42,30,81,81,244,394,Tony Battie,"$4,800,000"
1565,2004-05,00,1610612737,ATL,30.0,12,1,145.0,11,21,0.524,0,0,0.0,3,7,0.429,21,19,40,5,6,5,6,32,25,Michael Stewart,"$4,800,000"
