PLAYER_ID,Name,HEIGHT,WEIGHT,POSITION,SEASON_EXP,DRAFT_NUMBER,SEASON_ID,TEAM_ABBREVIATION_y,GP,GS/G,MIN/G,REB/G,AST/G,STL/G,BLK/G,TOV/G,PTS/G,Salary
977,Kobe Bryant,198.12,212.0,Forward-Guard,19,13,2015-16,LAL,66,1.0,28.23,3.74,2.79,0.94,0.2,1.95,17.59,25.0
2544,LeBron James,205.74,250.0,Forward,12,1,2015-16,CLE,76,1.0,35.64,7.43,6.76,1.37,0.64,3.28,25.26,22.97
2546,Carmelo Anthony,200.66,238.0,Forward,12,3,2015-16,NYK,72,1.0,35.14,7.72,4.15,0.86,0.53,2.44,21.85,22.88
2730,Dwight Howard,208.28,265.0,Forward-Center,11,1,2015-16,HOU,71,1.0,32.11,11.76,1.38,0.97,1.59,2.34,13.75,22.36
2547,Chris Bosh,210.82,235.0,Forward,12,4,2015-16,MIA,53,1.0,33.55,7.36,2.42,0.68,0.64,1.47,19.06,22.19
101108,Chris Paul,182.88,175.0,Guard,10,4,2015-16,LAC,74,1.0,32.7,4.19,9.97,2.05,0.18,2.62,19.54,21.47
201142,Kevin Durant,210.82,240.0,Forward,8,2,2015-16,OKC,72,1.0,35.81,8.18,5.01,0.96,1.18,3.47,28.18,20.16
201565,Derrick Rose,190.5,200.0,Guard,7,1,2015-16,CHI,66,1.0,31.77,3.41,4.71,0.67,0.21,2.65,16.36,20.09
2548,Dwyane Wade,193.04,220.0,Guard,12,5,2015-16,MIA,74,0.99,30.51,4.08,4.65,1.07,0.57,2.74,19.04,20.0
200746,LaMarcus Aldridge,210.82,250.0,Forward-Center,9,2,2015-16,SAS,74,1.0,30.55,8.54,1.49,0.51,1.09,1.34,17.99,19.69
201572,Brook Lopez,215.9,282.0,Center,7,10,2015-16,BKN,73,1.0,33.66,7.85,2.0,0.79,1.7,2.4,20.56,19.69
201567,Kevin Love,203.2,251.0,Forward-Center,7,5,2015-16,CLE,77,1.0,31.48,9.9,2.4,0.75,0.53,1.84,16.03,19.69
201599,DeAndre Jordan,210.82,265.0,Center,7,35,2015-16,LAC,77,1.0,33.74,13.75,1.17,0.66,2.3,1.39,12.73,19.69
201188,Marc Gasol,210.82,255.0,Center,7,48,2015-16,MEM,52,1.0,34.44,6.96,3.77,0.96,1.35,2.27,16.56,19.69
201933,Blake Griffin,205.74,250.0,Forward,6,1,2015-16,LAC,35,1.0,33.43,8.4,4.86,0.8,0.49,2.37,21.4,18.91
200794,Paul Millsap,200.66,257.0,Forward,9,47,2015-16,ATL,81,1.0,32.68,9.04,3.27,1.81,1.72,2.36,17.1,18.67
202331,Paul George,203.2,220.0,Forward,5,10,2015-16,IND,81,1.0,34.8,6.95,4.06,1.88,0.36,3.27,23.14,17.12
