PLAYER_ID,Name,HEIGHT,WEIGHT,POSITION,SEASON_EXP,DRAFT_NUMBER,SEASON_ID,TEAM_ABBREVIATION_y,GP,GS/G,MIN/G,REB/G,AST/G,STL/G,BLK/G,TOV/G,PTS/G,Salary
406,Shaquille O'Neal,215.9,325.0,Center,12,1,2004-05,MIA,73,1.0,34.11,10.41,2.74,0.49,2.34,2.78,22.86,29.46
87,Dikembe Mutombo,218.44,260.0,Center,13,4,2004-05,HOU,80,0.02,15.14,5.32,0.12,0.2,1.26,0.64,4.03,19.68
757,Damon Stoudamire,177.8,171.0,Guard,9,7,2004-05,POR,81,0.86,34.12,3.83,5.65,1.06,0.02,2.02,15.77,15.75
949,Shareef Abdur-Rahim,205.74,245.0,Forward,8,3,2004-05,POR,54,0.91,34.59,7.26,2.06,0.91,0.48,2.17,16.83,14.62
947,Allen Iverson,182.88,165.0,Guard,8,1,2004-05,PHI,75,1.0,42.31,3.99,7.95,2.4,0.12,4.59,30.69,14.62
84,Latrell Sprewell,195.58,195.0,Guard,12,24,2004-05,MIN,80,0.99,30.64,3.18,2.24,0.66,0.26,1.59,12.76,14.62
980,Zydrunas Ilgauskas,220.98,260.0,Center,7,20,2004-05,CLE,78,1.0,33.53,8.62,1.28,0.68,2.12,2.45,16.92,14.62
951,Ray Allen,195.58,205.0,Guard,8,5,2004-05,SEA,78,1.0,39.28,4.45,3.71,1.08,0.06,2.19,23.94,14.62
977,Kobe Bryant,198.12,212.0,Forward-Guard,8,13,2004-05,LAL,66,1.0,40.74,5.94,6.03,1.3,0.8,4.09,27.56,14.62
950,Stephon Marbury,187.96,205.0,Guard,8,4,2004-05,NYK,82,1.0,40.01,3.02,8.15,1.49,0.07,2.84,21.72,14.62
714,Michael Finley,200.66,225.0,Forward-Guard,9,21,2004-05,DAL,64,1.0,36.84,4.09,2.64,0.75,0.28,0.94,15.67,14.61
1503,Tracy McGrady,203.2,225.0,Forward-Guard,7,9,2004-05,HOU,78,1.0,40.79,6.21,5.74,1.73,0.67,2.58,25.68,14.49
147,Jalen Rose,203.2,215.0,Forward-Guard,10,13,2004-05,TOR,81,0.8,33.46,3.41,2.58,0.78,0.12,2.22,18.46,14.49
255,Grant Hill,203.2,225.0,Forward,10,3,2004-05,ORL,67,1.0,34.9,4.75,3.28,1.45,0.42,2.4,19.66,14.49
224,Eddie Jones,198.12,200.0,Forward-Guard,10,10,2004-05,MIA,80,1.0,35.5,5.06,2.65,1.08,0.48,1.24,12.72,13.44
258,Brian Grant,205.74,254.0,Forward-Center,10,8,2004-05,LAL,69,0.12,16.46,3.72,0.49,0.33,0.33,0.62,3.81,13.35
1501,Tim Thomas,208.28,240.0,Forward,7,7,2004-05,NYK,71,0.96,27.32,3.34,1.55,0.58,0.24,1.59,11.99,12.9
299,Glenn Robinson,200.66,240.0,Forward,10,1,2004-05,SAS,9,0.0,17.44,2.67,0.89,0.44,0.33,0.78,10.0,12.0
89,Nick Van Exel,185.42,190.0,Guard,11,37,2004-05,POR,53,0.64,30.55,3.04,4.28,0.83,0.0,1.74,11.06,11.82
689,Theo Ratliff,208.28,235.0,Center,9,18,2004-05,POR,63,0.71,27.48,5.25,0.54,0.37,2.51,0.89,4.83,10.94
1507,Derek Anderson,195.58,195.0,Guard,7,13,2004-05,POR,47,0.68,26.34,2.72,3.04,0.77,0.09,1.49,9.19,8.44
