PLAYER_ID,Name,HEIGHT,WEIGHT,POSITION,SEASON_EXP,DRAFT_NUMBER,SEASON_ID,TEAM_ABBREVIATION_y,GP,GS/G,MIN/G,REB/G,AST/G,STL/G,BLK/G,TOV/G,PTS/G,Salary
977,Kobe Bryant,198.12,212.0,Forward-Guard,16,13,2012-13,LAL,78,1.0,38.63,5.55,6.01,1.36,0.32,3.68,27.35,30.45
1717,Dirk Nowitzki,213.36,245.0,Forward,14,9,2012-13,DAL,53,0.89,31.34,6.85,2.49,0.72,0.7,1.32,17.3,20.91
2405,Amar'e Stoudemire,208.28,245.0,Forward-Center,10,9,2012-13,NYK,29,0.0,23.52,5.0,0.45,0.34,0.72,1.72,14.24,19.95
2546,Carmelo Anthony,200.66,238.0,Forward,9,3,2012-13,NYK,67,1.0,37.04,6.87,2.55,0.78,0.48,2.61,28.66,19.44
2200,Pau Gasol,213.36,250.0,Forward-Center,11,3,2012-13,LAL,49,0.86,33.78,8.59,4.08,0.49,1.24,2.12,13.73,19.29
2547,Chris Bosh,210.82,235.0,Forward,9,4,2012-13,MIA,74,1.0,33.16,6.77,1.66,0.89,1.36,1.73,16.65,19.07
2544,LeBron James,205.74,250.0,Forward,9,1,2012-13,MIA,76,1.0,37.86,8.03,7.25,1.7,0.88,2.97,26.79,19.07
2548,Dwyane Wade,193.04,220.0,Guard,9,5,2012-13,MIA,69,1.0,34.65,4.99,5.1,1.86,0.81,2.81,21.2,18.67
101108,Chris Paul,182.88,175.0,Guard,7,4,2012-13,LAC,70,1.0,33.36,3.74,9.69,2.41,0.14,2.27,16.94,18.67
201142,Kevin Durant,210.82,240.0,Forward,5,2,2012-13,OKC,81,1.0,38.51,7.9,4.62,1.43,1.3,3.46,28.15,17.83
101114,Deron Williams,190.5,200.0,Guard,7,3,2012-13,BKN,78,1.0,36.44,2.97,7.74,0.96,0.38,2.79,18.92,17.18
1718,Paul Pierce,200.66,235.0,Forward,14,10,2012-13,BOS,77,1.0,33.44,6.32,4.81,1.09,0.39,2.78,18.57,16.79
2216,Zach Randolph,205.74,250.0,Forward,11,19,2012-13,MEM,76,0.99,34.3,11.24,1.42,0.8,0.41,1.97,15.38,16.5
2430,Carlos Boozer,205.74,258.0,Forward,10,34,2012-13,CHI,79,1.0,32.23,9.76,2.27,0.84,0.35,2.23,16.22,15.3
2738,Andre Iguodala,198.12,215.0,Forward-Guard,8,9,2012-13,DEN,80,1.0,34.74,5.29,5.41,1.74,0.65,2.58,12.98,14.97
201566,Russell Westbrook,193.04,200.0,Guard,4,4,2012-13,OKC,82,1.0,34.89,5.22,7.4,1.77,0.29,3.33,23.21,14.69
2731,Emeka Okafor,208.28,255.0,Center,8,2,2012-13,WAS,79,0.97,25.97,8.76,1.18,0.57,0.97,1.35,9.68,14.49
2736,Luol Deng,205.74,237.0,Forward,8,7,2012-13,CHI,75,1.0,38.71,6.35,2.96,1.08,0.43,1.92,16.49,14.28
1938,Manu Ginobili,198.12,205.0,Guard,10,57,2012-13,SAS,60,0.0,23.22,3.35,4.57,1.33,0.22,2.2,11.75,14.11
201188,Marc Gasol,210.82,255.0,Center,4,48,2012-13,MEM,80,1.0,34.95,7.78,3.98,1.0,1.74,1.96,14.09,13.89
201933,Blake Griffin,205.74,250.0,Forward,3,1,2012-13,LAC,80,1.0,32.48,8.28,3.74,1.21,0.62,2.31,18.0,13.7
201569,Eric Gordon,190.5,215.0,Guard,4,7,2012-13,NOH,42,0.95,30.1,1.83,3.26,1.07,0.19,2.79,16.98,13.67
201572,Brook Lopez,215.9,282.0,Center,4,10,2012-13,BKN,74,1.0,30.45,6.92,0.95,0.45,2.08,1.77,19.42,13.67
201567,Kevin Love,203.2,251.0,Forward-Center,4,5,2012-13,MIN,18,1.0,34.33,14.0,2.33,0.72,0.5,2.17,18.33,13.67
201579,Roy Hibbert,218.44,270.0,Center,4,17,2012-13,IND,79,1.0,28.72,8.3,1.43,0.49,2.61,2.05,11.86,13.67
2199,Tyson Chandler,213.36,235.0,Center,11,2,2012-13,NYK,66,1.0,32.79,10.65,0.94,0.64,1.14,1.32,10.44,13.6
200746,LaMarcus Aldridge,210.82,250.0,Forward-Center,6,2,2012-13,POR,74,1.0,37.7,9.05,2.59,0.84,1.23,1.93,21.08,13.5
2744,Al Jefferson,208.28,280.0,Center,8,15,2012-13,UTA,78,1.0,33.05,9.23,2.1,1.03,1.14,1.35,17.83,13.5
2732,Ben Gordon,190.5,205.0,Guard,8,3,2012-13,CHA,75,0.0,20.8,1.73,1.88,0.47,0.21,1.81,11.2,13.2
101122,Danny Granger,205.74,222.0,Forward-Guard,7,17,2012-13,IND,5,0.0,14.8,1.8,0.6,0.4,0.2,0.8,5.4,13.06
101106,Andrew Bogut,213.36,260.0,Center,7,1,2012-13,GSW,32,1.0,24.56,7.66,2.09,0.62,1.72,1.09,5.81,13.0
101135,David Lee,205.74,245.0,Forward-Center,7,30,2012-13,GSW,79,1.0,36.8,11.22,3.53,0.85,0.28,2.62,18.47,12.74
2225,Tony Parker,187.96,185.0,Guard,11,28,2012-13,SAS,66,1.0,32.94,3.0,7.56,0.82,0.09,2.58,20.32,12.5
2755,Kevin Martin,200.66,199.0,Guard,8,26,2012-13,OKC,77,0.0,27.74,2.31,1.38,0.94,0.1,1.31,13.99,12.44
2743,Kris Humphries,205.74,235.0,Forward,8,14,2012-13,BKN,65,0.32,18.32,5.62,0.49,0.25,0.51,0.88,5.77,12.0
2045,Hedo Turkoglu,208.28,220.0,Forward,12,16,2012-13,ORL,11,0.09,17.18,2.36,2.09,0.64,0.09,1.09,2.91,12.0
201143,Al Horford,205.74,240.0,Forward-Center,5,3,2012-13,ATL,74,1.0,37.24,10.23,3.24,1.05,1.05,1.99,17.42,12.0
708,Kevin Garnett,210.82,240.0,Forward,17,5,2012-13,BOS,68,1.0,29.74,7.79,2.34,1.15,0.91,1.62,14.76,11.57
