PLAYER_ID,Name,HEIGHT,WEIGHT,POSITION,SEASON_EXP,DRAFT_NUMBER,SEASON_ID,TEAM_ABBREVIATION_y,GP,GS/G,MIN/G,REB/G,AST/G,STL/G,BLK/G,TOV/G,PTS/G,Salary
977,Kobe Bryant,198.12,212.0,Forward-Guard,17,13,2013-14,LAL,6,1.0,29.5,4.33,6.33,1.17,0.17,5.67,13.83,30.45
1717,Dirk Nowitzki,213.36,245.0,Forward,15,9,2013-14,DAL,80,1.0,32.85,6.22,2.7,0.91,0.56,1.46,21.69,22.72
2405,Amar'e Stoudemire,208.28,245.0,Forward-Center,11,9,2013-14,NYK,65,0.32,22.55,4.92,0.52,0.35,0.57,1.4,11.88,21.68
2546,Carmelo Anthony,200.66,238.0,Forward,10,3,2013-14,NYK,77,1.0,38.73,8.08,3.14,1.23,0.66,2.57,27.43,21.39
2730,Dwight Howard,208.28,265.0,Forward-Center,9,1,2013-14,HOU,71,1.0,33.75,12.2,1.85,0.85,1.8,3.23,18.27,20.51
2200,Pau Gasol,213.36,250.0,Forward-Center,12,3,2013-14,LAL,60,1.0,31.4,9.67,3.35,0.45,1.53,2.35,17.35,19.29
2547,Chris Bosh,210.82,235.0,Forward,10,4,2013-14,MIA,79,1.0,32.04,6.61,1.1,1.01,0.99,1.58,16.22,19.07
2544,LeBron James,205.74,250.0,Forward,10,1,2013-14,MIA,77,1.0,37.69,6.92,6.34,1.57,0.34,3.51,27.13,19.07
2548,Dwyane Wade,193.04,220.0,Guard,10,5,2013-14,MIA,54,0.98,32.87,4.46,4.67,1.46,0.54,2.98,19.04,18.67
101108,Chris Paul,182.88,175.0,Guard,8,4,2013-14,LAC,62,1.0,35.02,4.32,10.69,2.48,0.06,2.34,19.11,18.67
101114,Deron Williams,190.5,200.0,Guard,8,3,2013-14,BKN,64,0.91,32.17,2.62,6.12,1.45,0.2,2.23,14.3,18.47
2216,Zach Randolph,205.74,250.0,Forward,12,19,2013-14,MEM,79,1.0,34.24,10.06,2.53,0.68,0.29,2.32,17.37,18.24
201142,Kevin Durant,210.82,240.0,Forward,6,2,2013-14,OKC,81,1.0,38.54,7.38,5.49,1.27,0.73,3.52,32.01,17.83
201565,Derrick Rose,190.5,200.0,Guard,5,1,2013-14,CHI,10,1.0,31.1,3.2,4.3,0.5,0.1,3.4,15.9,17.63
201933,Blake Griffin,205.74,250.0,Forward,4,1,2013-14,LAC,80,1.0,35.79,9.46,3.86,1.15,0.64,2.8,24.12,16.44
1718,Paul Pierce,200.66,235.0,Forward,15,10,2013-14,BKN,75,0.91,27.97,4.64,2.37,1.15,0.41,2.04,13.47,15.33
2430,Carlos Boozer,205.74,258.0,Forward,11,34,2013-14,CHI,76,1.0,28.17,8.32,1.55,0.7,0.29,2.03,13.71,15.3
200746,LaMarcus Aldridge,210.82,250.0,Forward-Center,7,2,2013-14,POR,69,1.0,36.22,11.09,2.58,0.91,0.99,1.78,23.23,14.88
201188,Marc Gasol,210.82,255.0,Center,5,48,2013-14,MEM,59,1.0,33.39,7.19,3.64,1.0,1.29,1.88,14.56,14.86
201572,Brook Lopez,215.9,282.0,Center,5,10,2013-14,BKN,17,1.0,31.35,6.0,0.94,0.53,1.76,1.65,20.71,14.69
201567,Kevin Love,203.2,251.0,Forward-Center,5,5,2013-14,MIN,77,1.0,36.32,12.51,4.43,0.77,0.45,2.55,26.1,14.69
201566,Russell Westbrook,193.04,200.0,Guard,5,4,2013-14,OKC,46,1.0,30.7,5.72,6.93,1.91,0.15,3.85,21.78,14.69
201569,Eric Gordon,190.5,215.0,Guard,5,7,2013-14,NOP,64,1.0,32.14,2.58,3.25,1.16,0.19,2.09,15.44,14.28
201579,Roy Hibbert,218.44,270.0,Center,5,17,2013-14,IND,81,1.0,29.74,6.64,1.12,0.36,2.25,1.83,10.75,14.28
2199,Tyson Chandler,213.36,235.0,Center,12,2,2013-14,NYK,55,1.0,30.22,9.62,1.07,0.65,1.15,1.29,8.73,14.1
101106,Andrew Bogut,213.36,260.0,Center,8,1,2013-14,GSW,67,1.0,26.4,10.01,1.67,0.7,1.81,1.45,7.34,14.0
101135,David Lee,205.74,245.0,Forward-Center,8,30,2013-14,GSW,69,0.97,33.16,9.32,2.13,0.7,0.38,2.2,18.22,13.88
201935,James Harden,195.58,220.0,Guard,4,3,2013-14,HOU,73,1.0,38.04,4.71,6.11,1.58,0.4,3.63,25.36,13.7
2744,Al Jefferson,208.28,280.0,Center,9,15,2013-14,CHA,73,1.0,34.97,10.85,2.12,0.92,1.08,1.7,21.84,13.5
2738,Andre Iguodala,198.12,215.0,Forward-Guard,9,9,2013-14,GSW,63,1.0,32.38,4.65,4.17,1.51,0.29,1.59,9.33,12.87
2225,Tony Parker,187.96,185.0,Guard,12,28,2013-14,SAS,68,1.0,29.37,2.28,5.71,0.53,0.13,2.22,16.68,12.5
708,Kevin Garnett,210.82,240.0,Forward,18,5,2013-14,BKN,54,1.0,20.54,6.63,1.52,0.8,0.74,1.28,6.52,12.43
