PLAYER_ID,Name,HEIGHT,WEIGHT,POSITION,SEASON_EXP,DRAFT_NUMBER,SEASON_ID,TEAM_ABBREVIATION_y,GP,GS/G,MIN/G,REB/G,AST/G,STL/G,BLK/G,TOV/G,PTS/G,Salary
977,Kobe Bryant,198.12,212.0,Forward-Guard,13,13,2009-10,LAL,73,1.0,38.84,5.36,5.0,1.55,0.27,3.19,26.99,23.03
979,Jermaine O'Neal,210.82,255.0,Forward-Center,13,17,2009-10,MIA,70,1.0,28.44,6.94,1.31,0.36,1.36,1.79,13.57,23.02
1495,Tim Duncan,210.82,250.0,Forward-Center,12,1,2009-10,SAS,78,0.99,31.26,10.1,3.15,0.58,1.5,1.79,17.88,22.18
406,Shaquille O'Neal,215.9,325.0,Center,17,1,2009-10,CLE,53,1.0,23.4,6.7,1.51,0.28,1.17,1.98,12.0,21.0
1717,Dirk Nowitzki,213.36,245.0,Forward,11,9,2009-10,DAL,81,0.99,37.52,7.65,2.69,0.86,0.98,1.84,25.02,19.8
1718,Paul Pierce,200.66,235.0,Forward,11,10,2009-10,BOS,71,1.0,33.96,4.37,3.07,1.18,0.44,2.34,18.25,19.8
951,Ray Allen,195.58,205.0,Guard,13,5,2009-10,BOS,80,1.0,35.24,3.16,2.62,0.8,0.31,1.61,16.3,18.78
1740,Rashard Lewis,208.28,235.0,Forward,11,32,2009-10,ORL,72,1.0,32.9,4.42,1.49,1.08,0.39,1.5,14.07,18.01
2072,Michael Redd,198.12,215.0,Guard,9,43,2009-10,MIL,18,0.67,27.33,3.0,2.17,1.06,0.11,0.83,11.94,17.04
2200,Pau Gasol,213.36,250.0,Forward-Center,8,3,2009-10,LAL,65,1.0,36.97,11.29,3.35,0.57,1.74,2.2,18.31,16.45
708,Kevin Garnett,210.82,240.0,Forward,14,5,2009-10,BOS,69,1.0,29.86,7.33,2.68,0.99,0.83,1.46,14.35,16.42
