PLAYER_ID,Name,HEIGHT,WEIGHT,POSITION,SEASON_EXP,DRAFT_NUMBER,SEASON_ID,TEAM_ABBREVIATION_y,GP,GS/G,MIN/G,REB/G,AST/G,STL/G,BLK/G,TOV/G,PTS/G,Salary
2544,LeBron James,205.74,250,Forward,13,1,2016-17,CLE,74,1.0,37.77,8.64,8.73,1.24,0.59,4.09,26.41,30.96
201142,Kevin Durant,210.82,240,Forward,9,2,2016-17,GSW,62,1.0,33.39,8.27,4.84,1.06,1.6,2.23,25.08,26.54
201144,Mike Conley,182.88,175,Guard,9,4,2016-17,MEM,69,0.99,33.22,3.49,6.28,1.33,0.28,2.26,20.51,26.54
201935,James Harden,195.58,220,Guard,7,3,2016-17,HOU,81,1.0,36.38,8.14,11.2,1.49,0.47,5.73,29.09,26.54
201566,Russell Westbrook,193.04,200,Guard,8,4,2016-17,OKC,81,1.0,34.59,10.67,10.37,1.63,0.38,5.41,31.58,26.54
201942,DeMar DeRozan,198.12,220,Forward-Guard,7,9,2016-17,TOR,74,1.0,35.41,5.22,3.92,1.05,0.18,2.43,27.3,26.54
201143,Al Horford,205.74,240,Forward-Center,9,3,2016-17,BOS,68,1.0,32.25,6.84,4.96,0.76,1.26,1.69,14.0,26.54
1717,Dirk Nowitzki,213.36,245,Forward,18,9,2016-17,DAL,54,1.0,26.37,6.54,1.52,0.56,0.7,0.94,14.24,25.0
2546,Carmelo Anthony,200.66,238,Forward,13,3,2016-17,NYK,74,1.0,34.3,5.92,2.88,0.81,0.46,2.07,22.42,24.56
203081,Damian Lillard,187.96,195,Guard,4,6,2016-17,POR,75,1.0,35.91,4.91,5.87,0.91,0.27,2.63,26.99,24.33
2548,Dwyane Wade,193.04,220,Guard,13,5,2016-17,CHI,60,0.98,29.87,4.5,3.8,1.43,0.68,2.3,18.27,23.2
2730,Dwight Howard,208.28,265,Forward-Center,12,1,2016-17,ATL,74,1.0,29.72,12.7,1.41,0.86,1.24,2.3,13.54,23.18
101108,Chris Paul,182.88,175,Guard,11,4,2016-17,LAC,61,1.0,31.49,4.98,9.23,1.95,0.13,2.41,18.1,22.87
202355,Hassan Whiteside,213.36,265,Center,6,33,2016-17,MIA,77,1.0,32.64,14.13,0.74,0.74,2.09,2.0,17.0,22.12
203084,Harrison Barnes,203.2,225,Forward,4,7,2016-17,DAL,79,1.0,35.49,4.99,1.47,0.82,0.19,1.29,19.22,22.12
203078,Bradley Beal,193.04,207,Guard,4,3,2016-17,WAS,77,1.0,34.86,3.12,3.47,1.08,0.27,2.03,23.1,22.12
203076,Anthony Davis,208.28,253,Forward-Center,4,1,2016-17,NOP,75,1.0,36.11,11.79,2.09,1.25,2.23,2.41,27.99,22.12
